1,Tilt,BLE Beacon,2025-07-06 08:45:57,Red,Red,-9.89,1.0850,10,-72,,,,
1,Gravitymon,HTTP Post,2025-07-11 02:50:46,6d4b38,grav-black,,16.50,1.0829,68.3560,4.00,0,-69,900
1,Gravitymon,HTTP Post,2025-07-11 03:01:12,66a0e4,grav-red,,16.63,1.0632,53.6930,4.13,0,-75,900
1,Gravitymon,HTTP Post,2025-07-11 03:05:48,6d4b38,grav-black,,16.50,1.0827,68.2910,3.99,0,-69,900
1,Gravitymon,HTTP Post,2025-07-11 03:15:43,66a0e4,grav-red,,16.50,1.0630,53.6110,4.13,0,-74,900
1,Gravitymon,HTTP Post,2025-07-11 03:20:47,6d4b38,grav-black,,16.50,1.0826,68.2570,3.96,0,-69,900
1,Gravitymon,HTTP Post,2025-07-11 03:30:15,66a0e4,grav-red,,16.50,1.0628,53.5380,4.13,0,-75,900
1,Gravitymon,HTTP Post,2025-07-11 03:35:49,6d4b38,grav-black,,16.50,1.0826,68.2630,4.00,0,-70,900
1,Gravitymon,HTTP Post,2025-07-11 03:44:47,66a0e4,grav-red,,16.38,1.0628,53.5530,4.13,0,-76,900
1,Gravitymon,HTTP Post,2025-07-11 03:50:50,6d4b38,grav-black,,16.50,1.0824,68.2270,4.00,0,-70,900
1,Gravitymon,HTTP Post,2025-07-11 03:59:18,66a0e4,grav-red,,16.31,1.0627,53.4900,4.13,0,-74,900
1,Gravitymon,HTTP Post,2025-07-11 04:05:50,6d4b38,grav-black,,16.50,1.0823,68.1700,4.01,0,-70,900
1,Gravitymon,HTTP Post,2025-07-11 04:13:47,66a0e4,grav-red,,16.25,1.0626,53.4620,4.13,0,-75,900
1,Gravitymon,HTTP Post,2025-07-11 04:20:52,6d4b38,grav-black,,16.00,1.0821,68.1290,4.00,0,-70,900
1,Gravitymon,HTTP Post,2025-07-11 04:28:20,66a0e4,grav-red,,16.13,1.0625,53.4270,4.13,0,-74,900
1,Gravitymon,HTTP Post,2025-07-11 04:35:55,6d4b38,grav-black,,16.00,1.0821,68.1120,3.99,0,-70,900
1,Gravitymon,HTTP Post,2025-07-11 04:42:51,66a0e4,grav-red,,16.06,1.0623,53.3590,4.13,0,-75,900
1,Gravitymon,HTTP Post,2025-07-11 04:50:56,6d4b38,grav-black,,16.00,1.0820,68.0890,3.97,0,-70,900
1,Gravitymon,HTTP Post,2025-07-11 04:57:23,66a0e4,grav-red,,16.00,1.0623,53.3430,4.13,0,-76,900
1,Gravitymon,HTTP Post,2025-07-11 05:06:00,6d4b38,grav-black,,16.00,1.0820,68.0850,3.97,0,-70,900
1,Gravitymon,HTTP Post,2025-07-11 05:11:55,66a0e4,grav-red,,15.94,1.0622,53.3160,4.13,0,-75,900
1,Gravitymon,HTTP Post,2025-07-11 05:21:01,6d4b38,grav-black,,16.00,1.0819,68.0560,3.95,0,-70,900
1,Gravitymon,HTTP Post,2025-07-11 05:26:26,66a0e4,grav-red,,15.88,1.0617,53.1290,4.13,0,-73,900
1,Gravitymon,HTTP Post,2025-07-11 05:36:03,6d4b38,grav-black,,16.00,1.0817,68.0190,3.97,0,-70,900
1,Gravitymon,HTTP Post,2025-07-11 05:41:00,66a0e4,grav-red,,15.75,1.0621,53.2640,4.13,0,-74,900
1,Gravitymon,HTTP Post,2025-07-11 05:51:06,6d4b38,grav-black,,16.00,1.0817,68.0030,3.95,0,-71,900
1,Gravitymon,HTTP Post,2025-07-11 05:55:25,66a0e4,grav-red,,15.75,1.0618,53.1680,4.13,0,-75,900
1,Gravitymon,HTTP Post,2025-07-11 06:06:06,6d4b38,grav-black,,16.00,1.0816,67.9730,3.97,0,-70,900
1,Gravitymon,HTTP Post,2025-07-11 06:09:52,66a0e4,grav-red,,15.75,1.0617,53.1150,4.13,0,-75,900
1,Gravitymon,HTTP Post,2025-07-11 06:21:08,6d4b38,grav-black,,15.50,1.0814,67.9260,3.97,0,-70,900
1,Gravitymon,HTTP Post,2025-07-11 06:24:22,66a0e4,grav-red,,15.63,1.0614,53.0010,4.13,0,-74,900
1,Gravitymon,HTTP Post,2025-07-11 06:36:12,6d4b38,grav-black,,15.50,1.0812,67.8710,3.98,0,-71,900
1,Gravitymon,HTTP Post,2025-07-11 06:38:52,66a0e4,grav-red,,15.56,1.0611,52.9000,4.13,0,-74,900
1,Gravitymon,HTTP Post,2025-07-11 06:51:17,6d4b38,grav-black,,15.50,1.0812,67.8450,3.99,0,-71,900
1,Gravitymon,HTTP Post,2025-07-11 06:53:19,66a0e4,grav-red,,15.50,1.0607,52.7690,4.13,0,-74,900
1,Gravitymon,HTTP Post,2025-07-11 07:06:19,6d4b38,grav-black,,15.50,1.0809,67.7740,3.98,0,-71,900
1,Gravitymon,HTTP Post,2025-07-11 07:07:49,66a0e4,grav-red,,15.50,1.0606,52.7150,4.13,0,-74,900
1,Gravitymon,HTTP Post,2025-07-11 07:21:22,6d4b38,grav-black,,15.50,1.0807,67.7070,3.99,0,-72,900
1,Gravitymon,HTTP Post,2025-07-11 07:22:23,66a0e4,grav-red,,15.44,1.0603,52.6080,4.13,0,-74,900
1,Gravitymon,HTTP Post,2025-07-11 07:36:22,6d4b38,grav-black,,15.50,1.0804,67.6200,3.99,0,-72,900
1,Gravitymon,HTTP Post,2025-07-11 07:36:49,66a0e4,grav-red,,15.44,1.0598,52.4300,4.13,0,-74,900
1,Gravitymon,HTTP Post,2025-07-11 07:51:21,66a0e4,grav-red,,15.31,1.0597,52.3660,4.13,0,-74,900
1,Gravitymon,HTTP Post,2025-07-11 07:51:24,6d4b38,grav-black,,15.50,1.0802,67.5630,3.99,0,-72,900
1,Gravitymon,HTTP Post,2025-07-11 08:05:43,66a0e4,grav-red,,15.19,1.0593,52.2440,4.13,0,-73,900
1,Gravitymon,HTTP Post,2025-07-11 08:06:24,6d4b38,grav-black,,15.50,1.0797,67.4170,3.98,0,-72,900
1,Gravitymon,HTTP Post,2025-07-11 08:20:16,66a0e4,grav-red,,15.19,1.0590,52.1300,4.13,0,-74,900
1,Gravitymon,HTTP Post,2025-07-11 08:21:23,6d4b38,grav-black,,15.50,1.0795,67.3570,3.98,0,-73,900
